city,latitude,longitude
מגן,31.298108,34.427059
חורה,31.2997256,34.935863
רפי,31.046051,34.851612
גבי,31.046051,34.851612
יגאל,31.046051,34.851612
צופים,32.197318,35.008912
גבעת עדה,32.517078,34.955096
אלון תבור,31.046051,34.851612
נוף הגליל,32.711539,35.324812
כליל,32.983567,35.199672
מגאר,32.8872843,35.4091765
דניס,31.046051,34.851612
מכבים רעות,31.890267,35.010397
רעות,31.890267,35.010397
אלעזר,31.659676,35.143074
רמת אפעל,32.047236,34.835859
קיבוץ המעפיל,32.378035,34.983146
נווה ירק,32.132729,34.925488
פרדסיה,32.305011,34.911731
עץ אפרים,32.119403,35.046367
זאביק,31.046051,34.851612
דוד,31.046051,34.851612
יהוד,32.0315718,34.8925712
בן עמי,33.005369,35.122218
גשר הזיו,33.040532,35.110563
מושב שפיר,31.697841,34.728135
קיבוץ העוגן,32.360437,34.923338
לאה,31.046051,34.851612
שימי,31.046051,34.851612
אורן,31.046051,34.851612
אדי,32.782353,35.173412
מוטי,31.046051,34.851612
ברק,32.542821,35.265291
מבשרת,31.80495489999999,35.151392
דנאיל,31.046051,34.851612
עופר,32.621882,34.983472
אלי,31.046051,34.851612
יקיר,31.046051,34.851612
קיבוץ גבולות,31.211168,34.466199
כפר ברא,32.130911,34.970108
קיבוץ איילון,33.062526,35.219162
מזור,32.050698,34.931373
מגדים,32.7266265,34.9621003
הר ברכה,31.046051,34.851612
חנוך,31.046051,34.851612
גבעת זאב,31.861189,35.167252
מכמורת,32.406504,34.871551
כפר ויתקין,32.380541,34.875308
עמינדב,31.75170499999999,35.142428
מחמוד,31.046051,34.851612
עצמון שגב,32.865802,35.252335
יובלים,32.878163,35.269294
כפר ורדים,32.9969981,35.2628012
ניר יפה,32.568982,35.244896
קרית טבעון,32.715288,35.124644
שקד,32.473745,35.168448
בית חרות,32.376223,34.873765
